,lodAIC,model,property,pid,short_response
325,pid_graph:APD4996A55,mistral-small,structure, URN:NBN        ,Allows Managed Prefix
326,pid_graph:APD607E2BF,mistral-small,governance, URN:NBN        ,Membership Governance
327,pid_graph:AP7E2A666E,mistral-small,metadata, URN:NBN:AT          ,Metadata Schema per Entity
328,pid_graph:APB179EE5F,mistral-small,structure, URN:NBN:AT        ,Allows Managed Prefix
329,pid_graph:AP81654D9E,mistral-small,governance, URN:NBN:AT        ,Community Governance
330,pid_graph:AP1F385425,mistral-small,metadata, URN:NBN:CH          ,Metadata Schema per Entity
331,pid_graph:APBA295DA2,mistral-small,structure, URN:NBN:CH        ,Allows Managed Prefix
332,pid_graph:AP5F44FF1C,mistral-small,governance, URN:NBN:CH        ,Closed Governance
333,pid_graph:AP347875AF,mistral-small,metadata, URN:NBN:CZ          ,Metadata Schema per Entity
334,pid_graph:AP9EDABE83,mistral-small,structure, URN:NBN:CZ        ,Allows Managed Prefix
335,pid_graph:APF05D9735,mistral-small,governance, URN:NBN:CZ        ,Not found
336,pid_graph:APA3CA106B,mistral-small,metadata, URN:NBN:DE          ,Not found
337,pid_graph:AP8CD94E22,mistral-small,structure, URN:NBN:DE        ,Not found
338,pid_graph:AP10E27BEE,mistral-small,governance, URN:NBN:DE        ,Closed Governance
339,pid_graph:APCF9E62A8,mistral-small,metadata, URN:NBN:FI          ,Metadata Schema per Entity
340,pid_graph:AP4A13394E,mistral-small,structure, URN:NBN:FI        ,Allows Managed Prefix
341,pid_graph:APFD7D3202,mistral-small,governance, URN:NBN:FI        ,Community Governance
342,pid_graph:AP0B8DA2FD,mistral-small,metadata, URN:NBN:HR          ,Metadata Schema per Entity
343,pid_graph:APA7FDFCD9,mistral-small,structure, URN:NBN:HR        ,Allows Managed Prefix
344,pid_graph:AP7D8A049B,mistral-small,governance, URN:NBN:HR        ,Closed Governance
345,pid_graph:APA5B79190,mistral-small,metadata, URN:NBN:HU          ,Metadata Schema per Entity
346,pid_graph:APC3990E8B,mistral-small,structure, URN:NBN:HU        ,Allows Managed Prefix
347,pid_graph:AP4A8FE769,mistral-small,governance, URN:NBN:HU        ,Closed Governance
348,pid_graph:APB92C3B25,mistral-small,metadata, URN:NBN:IT          ,Metadata Schema per Entity
349,pid_graph:AP1DFB04D5,mistral-small,structure, URN:NBN:IT        ,Allows Managed Prefix
350,pid_graph:AP9AD7B1BE,mistral-small,governance, URN:NBN:IT        ,Community Governance
351,pid_graph:AP5A8F15F0,mistral-small,metadata, URN:NBN:NL          ,Metadata Schema per Entity
352,pid_graph:APDFFF2AFD,mistral-small,structure, URN:NBN:NL        ,Allows Managed Prefix
353,pid_graph:APE3A82F91,mistral-small,governance, URN:NBN:NL        ,Closed Governance
354,pid_graph:APF423BFA5,mistral-small,metadata, URN:NBN:NO          ,Metadata Schema per Entity
355,pid_graph:APEE9C1C3B,mistral-small,structure, URN:NBN:NO        ,Allows Managed Prefix
356,pid_graph:APC6F8D154,mistral-small,governance, URN:NBN:NO        ,Not found
357,pid_graph:AP191BA20A,mistral-small,metadata, URN:NBN:SE          ,Metadata Schema per Entity
358,pid_graph:APE1DB588A,mistral-small,structure, URN:NBN:SE        ,Allows Managed Prefix
359,pid_graph:AP854AB70D,mistral-small,governance, URN:NBN:SE        ,Community Governance
360,pid_graph:AP482A6238,mistral-small,metadata, URN:NBN:SI          ,No Metadata Schema Prescribed
361,pid_graph:APC6F0E64C,mistral-small,structure, URN:NBN:SI        ,Allows Managed Prefix
362,pid_graph:AP6E9DE3CD,mistral-small,governance, URN:NBN:SI        ,Community Governance
363,pid_graph:AP6AB384EE,mistral-small,metadata, URN:NBN:SK          ,Common Metadata Schema for Identifier
364,pid_graph:APAA50A6DE,mistral-small,structure, URN:NBN:SK        ,Allows Managed Prefix
365,pid_graph:APD9925A86,mistral-small,governance, URN:NBN:SK        ,Community Governance
366,pid_graph:AP70697525,mistral-small,metadata, URN:OID          ,Metadata Schema per Entity
367,pid_graph:APCD235181,mistral-small,structure, URN:OID        ,Predefined Identifier Structure
368,pid_graph:AP269072B2,mistral-small,governance, URN:OID        ,Not found
369,pid_graph:AP466CA486,mistral-small,metadata, VAT number          ,No Metadata Schema Prescribed
370,pid_graph:APF2A273F2,mistral-small,structure, VAT number        ,Allows User Semantics
371,pid_graph:APCE3E0687,mistral-small,governance, VAT number        ,Unknown
372,pid_graph:AP5CE54AF2,mistral-small,metadata, VIAF          ,Metadata Schema per Entity
373,pid_graph:AP9E5AA291,mistral-small,structure, VIAF        ,Allows Managed Prefix
374,pid_graph:APA5D46522,mistral-small,governance, VIAF        ,Not found
375,pid_graph:APD6D8955D,mistral-small,metadata, Virta-id          ,Unknown
376,pid_graph:AP46BB3FF1,mistral-small,structure, Virta-id        ,Allows Managed Prefix
377,pid_graph:APEA593A61,mistral-small,governance, Virta-id        ,Unknown
378,pid_graph:APFD36A049,mistral-small,metadata, W3ID          ,Metadata Schema per Entity
379,pid_graph:APEC0A4306,mistral-small,structure, W3ID        ,Allows Managed Prefix
380,pid_graph:APAA366FCF,mistral-small,governance, W3ID        ,Community Governance
381,pid_graph:AP524B19F0,mistral-small,metadata, Wikipedia          ,No Metadata Schema Prescribed
382,pid_graph:AP056785F8,mistral-small,structure, Wikipedia        ,Allows Managed Prefix
383,pid_graph:AP6DF2CC97,mistral-small,governance, Wikipedia        ,Community Governance
384,pid_graph:AP222EFB1F,mistral-small,metadata, WOS          ,Metadata Schema per Entity
385,pid_graph:APC3CCB542,mistral-small,structure, WOS        ,Allows Managed Prefix
386,pid_graph:AP993E723E,mistral-small,governance, WOS        ,Community Governance
387,pid_graph:APCFE5686A,mistral-small,metadata, XRI          ,No Metadata Schema Prescribed
388,pid_graph:AP93D04CD4,mistral-small,structure, XRI        ,Allows Managed Prefix
389,pid_graph:AP96A8F01A,mistral-small,governance, XRI        ,Unknown
390,pid_graph:AP6B9EBE40,mistral-small,metadata, Z39.88-2004          ,No Metadata Schema Prescribed
391,pid_graph:AP0D8B9D08,mistral-small,structure, Z39.88-2004        ,Predefined Identifier Structure
392,pid_graph:APE0B792FD,mistral-small,governance, Z39.88-2004        ,Unknown
393,pid_graph:AP759F0581,mistral-small,metadata, zbMath          ,Metadata Schema per Entity
394,pid_graph:AP456299F5,mistral-small,structure, zbMath        ,Allows Managed Prefix
395,pid_graph:AP795AD708,mistral-small,governance, zbMath        ,Community Governance
396,pid_graph:APD74FD478,sonar-pro,metadata, AID          ,Unknown
397,pid_graph:AP954227C1,sonar-pro,structure, AID        ,Unknown
398,pid_graph:AP128ED0C9,sonar-pro,governance, AID        ,Unknown
399,pid_graph:APC354F524,sonar-pro,metadata, ARK          ,No Metadata Schema Prescribed
400,pid_graph:APA6E3A813,sonar-pro,structure, ARK        ,Allows Managed Prefix
401,pid_graph:AP3291F4CC,sonar-pro,governance, ARK        ,Community Governance
402,pid_graph:APC3254176,sonar-pro,metadata, arXiv          ,Common Metadata Schema for Identifier
403,pid_graph:AP0B08E34F,sonar-pro,structure, arXiv        ,Predefined Identifier Structure
404,pid_graph:AP57B43D66,sonar-pro,governance, arXiv        ,Membership Governance
405,pid_graph:AP809E9625,sonar-pro,metadata, BibCode          ,Common Metadata Schema for Identifier
406,pid_graph:AP41180C6C,sonar-pro,structure, BibCode        ,Predefined Identifier Structure
407,pid_graph:AP9A4CA19A,sonar-pro,governance, BibCode        ,Closed Governance
408,pid_graph:AP17D7F2C3,sonar-pro,metadata, Bitbucket          ,Custom/Non-Standard Metadata Schema
409,pid_graph:AP3387BCEB,sonar-pro,structure, Bitbucket        ,Unknown
410,pid_graph:AP06BEE5DD,sonar-pro,governance, Bitbucket        ,Closed Governance
411,pid_graph:APA9D5C2F9,sonar-pro,metadata, Book ID          ,Common Metadata Schema for Identifier
412,pid_graph:AP7362B021,sonar-pro,structure, Book ID        ,Unknown
413,pid_graph:APA065462E,sonar-pro,governance, Book ID        ,Unknown
414,pid_graph:AP72EE3560,sonar-pro,metadata, BusinessID          ,Unknown
415,pid_graph:AP6B55450F,sonar-pro,structure, BusinessID        ,Unknown
416,pid_graph:AP58796915,sonar-pro,governance, BusinessID        ,Unknown
417,pid_graph:AP976405E1,sonar-pro,metadata, CID          ,Unknown
418,pid_graph:AP8C366A43,sonar-pro,structure, CID        ,Unknown
419,pid_graph:APC960F459,sonar-pro,governance, CID        ,Unknown
420,pid_graph:AP9E1E4F0F,sonar-pro,metadata, COL          ,Unknown
421,pid_graph:AP23DD2DC3,sonar-pro,structure, COL        ,Unknown
422,pid_graph:AP176353A6,sonar-pro,governance, COL        ,Unknown
423,pid_graph:APBC4ED9AE,sonar-pro,metadata, CONFIDENT          ,Common Metadata Schema for Identifier
424,pid_graph:AP270678E7,sonar-pro,structure, CONFIDENT        ,Unknown
425,pid_graph:AP616BE19E,sonar-pro,governance, CONFIDENT        ,Unknown
426,pid_graph:AP90DC4CBE,sonar-pro,metadata, CrossRef Funders          ,Common Metadata Schema for Identifier
427,pid_graph:AP9F50B014,sonar-pro,structure, CrossRef Funders        ,Allows Managed Prefix
428,pid_graph:APB14CA239,sonar-pro,governance, CrossRef Funders        ,Membership Governance
429,pid_graph:APCC28274C,sonar-pro,metadata, CrossRef Grant          ,Common Metadata Schema for Identifier
430,pid_graph:AP274D5C6B,sonar-pro,structure, CrossRef Grant        ,Unknown
431,pid_graph:AP597F59DB,sonar-pro,governance, CrossRef Grant        ,Membership Governance
432,pid_graph:APB348C351,sonar-pro,metadata, CURIE          ,Custom/Non-Standard Metadata Schema
433,pid_graph:APE8119A5B,sonar-pro,structure, CURIE        ,Allows User Semantics
434,pid_graph:AP6979A35B,sonar-pro,governance, CURIE        ,Unknown
435,pid_graph:APA584EC26,sonar-pro,metadata, DAI          ,Common Metadata Schema for Identifier
436,pid_graph:AP1A5E3499,sonar-pro,structure, DAI        ,Unknown
437,pid_graph:AP30C00B40,sonar-pro,governance, DAI        ,Unknown
438,pid_graph:APEE8B1A78,sonar-pro,metadata, dbGaP ID          ,Common Metadata Schema for Identifier
439,pid_graph:AP812FA79A,sonar-pro,structure, dbGaP ID        ,Allows Managed Prefix
440,pid_graph:AP83CDEF7F,sonar-pro,governance, dbGaP ID        ,Closed Governance
441,pid_graph:APEE5608D4,sonar-pro,metadata, dbVar ID          ,Common Metadata Schema for Identifier
442,pid_graph:APF48583B8,sonar-pro,structure, dbVar ID        ,Allows User Semantics
443,pid_graph:AP8D35EB64,sonar-pro,governance, dbVar ID        ,Unknown
444,pid_graph:AP87089D7B,sonar-pro,metadata, DCO-ID          ,Unknown
445,pid_graph:AP0836AE2E,sonar-pro,structure, DCO-ID        ,Allows Managed Prefix
446,pid_graph:AP04550BA3,sonar-pro,governance, DCO-ID        ,Unknown
447,pid_graph:AP2612AE71,sonar-pro,metadata, DOI          ,Common Metadata Schema for Identifier
448,pid_graph:APC78C3DB2,sonar-pro,structure, DOI        ,Allows Managed Prefix
449,pid_graph:AP0CBD050A,sonar-pro,governance, DOI        ,Membership Governance
450,pid_graph:APCBCE9509,sonar-pro,metadata, DOI: Crossref          ,Common Metadata Schema for Identifier
451,pid_graph:APD3CBC35A,sonar-pro,structure, DOI: Crossref        ,Allows Managed Prefix
452,pid_graph:APFECF4E9A,sonar-pro,governance, DOI: Crossref        ,Membership Governance
453,pid_graph:APA4F7AFC5,sonar-pro,metadata, DOI: DataCIte          ,Common Metadata Schema for Identifier
454,pid_graph:AP54F5A8C5,sonar-pro,structure, DOI: DataCIte        ,Allows Managed Prefix
455,pid_graph:APACC51745,sonar-pro,governance, DOI: DataCIte        ,Membership Governance
456,pid_graph:APAB4D8E16,sonar-pro,metadata, dPID          ,Unknown
457,pid_graph:AP4D79AE46,sonar-pro,structure, dPID        ,Unknown
458,pid_graph:AP465C8F9B,sonar-pro,governance, dPID        ,Unknown
459,pid_graph:AP1FA8DD4D,sonar-pro,metadata, EAN13          ,Common Metadata Schema for Identifier
460,pid_graph:AP008A72BB,sonar-pro,structure, EAN13        ,Predefined Identifier Structure
461,pid_graph:AP74870860,sonar-pro,governance, EAN13        ,Closed Governance
462,pid_graph:AP42E588EA,sonar-pro,metadata, EIDR          ,Common Metadata Schema for Identifier
463,pid_graph:APDDE88F7A,sonar-pro,structure, EIDR        ,Allows Managed Prefix
464,pid_graph:AP3FC5DA6E,sonar-pro,governance, EIDR        ,Membership Governance
465,pid_graph:AP20762F6F,sonar-pro,metadata, eISSN          ,Common Metadata Schema for Identifier
466,pid_graph:APDEDAAED6,sonar-pro,structure, eISSN        ,Predefined Identifier Structure
467,pid_graph:AP54E6DC39,sonar-pro,governance, eISSN        ,Not found
468,pid_graph:APA029325E,sonar-pro,metadata, ePIC          ,Common Metadata Schema for Identifier
469,pid_graph:AP43F63ECF,sonar-pro,structure, ePIC        ,Allows Managed Prefix
470,pid_graph:APDBFE2C81,sonar-pro,governance, ePIC        ,Community Governance
471,pid_graph:AP2F81A369,sonar-pro,metadata, EU PIC          ,Common Metadata Schema for Identifier
472,pid_graph:APE1164A02,sonar-pro,structure, EU PIC        ,Predefined Identifier Structure
473,pid_graph:AP50CB1C70,sonar-pro,governance, EU PIC        ,Closed Governance
474,pid_graph:AP36184D4F,sonar-pro,metadata, GDS ID          ,Unknown
475,pid_graph:APBA897E6E,sonar-pro,structure, GDS ID        ,Unknown
476,pid_graph:AP20D51928,sonar-pro,governance, GDS ID        ,Unknown
477,pid_graph:AP20F6722D,sonar-pro,metadata, Gene ID          ,Common Metadata Schema for Identifier
478,pid_graph:AP0FC6D012,sonar-pro,structure, Gene ID        ,Allows Managed Prefix
479,pid_graph:AP47F83F1D,sonar-pro,governance, Gene ID        ,Unknown
480,pid_graph:AP4A547ED8,sonar-pro,metadata, Genome ID          ,Common Metadata Schema for Identifier
481,pid_graph:AP8FA83972,sonar-pro,structure, Genome ID        ,Unknown
482,pid_graph:APF81BE2C9,sonar-pro,governance, Genome ID        ,Unknown
483,pid_graph:APF227146D,sonar-pro,metadata, GEO ID          ,Common Metadata Schema for Identifier
484,pid_graph:APADA8D84A,sonar-pro,structure, GEO ID        ,Unknown
485,pid_graph:AP3694E36A,sonar-pro,governance, GEO ID        ,Unknown
486,pid_graph:AP6CF04046,sonar-pro,metadata, GeoNames ID          ,Common Metadata Schema for Identifier
487,pid_graph:APB2DCC5D7,sonar-pro,structure, GeoNames ID        ,Predefined Identifier Structure
488,pid_graph:APD5318F6F,sonar-pro,governance, GeoNames ID        ,Community Governance
489,pid_graph:APCAA40432,sonar-pro,metadata, GePRIS          ,Unknown
490,pid_graph:APEDB5CEE1,sonar-pro,structure, GePRIS        ,Unknown
491,pid_graph:AP83436876,sonar-pro,governance, GePRIS        ,Closed Governance
492,pid_graph:AP3E5E98F9,sonar-pro,metadata, GitHub          ,No Metadata Schema Prescribed
493,pid_graph:AP40DD730F,sonar-pro,structure, GitHub        ,Unknown
494,pid_graph:AP44973F39,sonar-pro,governance, GitHub        ,Closed Governance
495,pid_graph:AP5428EF35,sonar-pro,metadata, GitLab          ,Common Metadata Schema for Identifier
496,pid_graph:APB871BA12,sonar-pro,structure, GitLab        ,Unknown
497,pid_graph:APA8C94E25,sonar-pro,governance, GitLab        ,Closed Governance
498,pid_graph:APD69025E8,sonar-pro,metadata, GND          ,Common Metadata Schema for Identifier
499,pid_graph:AP41EEDFA7,sonar-pro,structure, GND        ,Allows Managed Prefix
500,pid_graph:AP6E6D5C30,sonar-pro,governance, GND        ,Membership Governance
501,pid_graph:AP6E5F2D33,sonar-pro,metadata, GRID          ,Common Metadata Schema for Identifier
502,pid_graph:APC2B0AB24,sonar-pro,structure, GRID        ,Predefined Identifier Structure
503,pid_graph:AP5E8CBD88,sonar-pro,governance, GRID        ,Closed Governance
504,pid_graph:AP3BD1D0E2,sonar-pro,metadata, HAL article ID          ,Common Metadata Schema for Identifier
505,pid_graph:APDC435CD4,sonar-pro,structure, HAL article ID        ,Allows Managed Prefix
506,pid_graph:APEAA02D0B,sonar-pro,governance, HAL article ID        ,Community Governance
507,pid_graph:AP00020867,sonar-pro,metadata, Handle          ,No Metadata Schema Prescribed
508,pid_graph:AP4469A5BA,sonar-pro,structure, Handle        ,Allows Managed Prefix
509,pid_graph:AP0F2275C8,sonar-pro,governance, Handle        ,Membership Governance
510,pid_graph:AP24F370F6,sonar-pro,metadata, HomoloGene ID          ,Common Metadata Schema for Identifier
511,pid_graph:AP6F534EA6,sonar-pro,structure, HomoloGene ID        ,Predefined Identifier Structure
512,pid_graph:AP41BD0D5C,sonar-pro,governance, HomoloGene ID        ,Closed Governance
513,pid_graph:APE97E0CC3,sonar-pro,metadata, ICD          ,Common Metadata Schema for Identifier
514,pid_graph:AP63D05DFB,sonar-pro,structure, ICD        ,Predefined Identifier Structure
515,pid_graph:AP255501AC,sonar-pro,governance, ICD        ,Unknown
516,pid_graph:APB015562B,sonar-pro,metadata, IdRef ID/SUDOC          ,Common Metadata Schema for Identifier
517,pid_graph:AP0231C030,sonar-pro,structure, IdRef ID/SUDOC        ,Unknown
518,pid_graph:AP5746046F,sonar-pro,governance, IdRef ID/SUDOC        ,Closed Governance
519,pid_graph:AP8FB6AB92,sonar-pro,metadata, IGSN          ,Common Metadata Schema for Identifier
520,pid_graph:AP14D04DF1,sonar-pro,structure, IGSN        ,Allows Managed Prefix
521,pid_graph:APD54862FF,sonar-pro,governance, IGSN        ,Community Governance
522,pid_graph:AP7B67FCCA,sonar-pro,metadata, IMDb company ID          ,Common Metadata Schema for Identifier
523,pid_graph:AP0C138228,sonar-pro,structure, IMDb company ID        ,Predefined Identifier Structure
524,pid_graph:AP29F299C4,sonar-pro,governance, IMDb company ID        ,Closed Governance
525,pid_graph:AP467B3D93,sonar-pro,metadata, IMDb name ID          ,Common Metadata Schema for Identifier
526,pid_graph:AP1B2389C1,sonar-pro,structure, IMDb name ID        ,Predefined Identifier Structure
527,pid_graph:APB32E5D2A,sonar-pro,governance, IMDb name ID        ,Closed Governance
528,pid_graph:AP2F9ECB9A,sonar-pro,metadata, IMDb title ID          ,Common Metadata Schema for Identifier
529,pid_graph:APFF871014,sonar-pro,structure, IMDb title ID        ,Predefined Identifier Structure
530,pid_graph:APDFA9412C,sonar-pro,governance, IMDb title ID        ,Closed Governance
531,pid_graph:AP4155F6FC,sonar-pro,metadata, InChI          ,Common Metadata Schema for Identifier
532,pid_graph:APB9F25EC0,sonar-pro,structure, InChI        ,Predefined Identifier Structure
533,pid_graph:APB1ACF5EC,sonar-pro,governance, InChI        ,Community Governance
534,pid_graph:AP6385B7E8,sonar-pro,metadata, InChiKey          ,Common Metadata Schema for Identifier
535,pid_graph:APE43DF2F1,sonar-pro,structure, InChiKey        ,Predefined Identifier Structure
536,pid_graph:AP280EF53A,sonar-pro,governance, InChiKey        ,Membership Governance
537,pid_graph:AP2F6DC05F,sonar-pro,metadata, ISLRN          ,Common Metadata Schema for Identifier
538,pid_graph:AP86BB4C52,sonar-pro,structure, ISLRN        ,Predefined Identifier Structure
539,pid_graph:AP63DA317C,sonar-pro,governance, ISLRN        ,Community Governance
540,pid_graph:AP6F9E67F9,sonar-pro,metadata, JuFo-id          ,Unknown
541,pid_graph:APC398F12C,sonar-pro,structure, JuFo-id        ,Allows User Semantics
542,pid_graph:AP019C2007,sonar-pro,governance, JuFo-id        ,Membership Governance
543,pid_graph:AP74ED4DAC,sonar-pro,metadata, Korean national author ID          ,Metadata Schema per Entity
544,pid_graph:APA6478541,sonar-pro,structure, Korean national author ID        ,Unknown
545,pid_graph:AP80D2F77A,sonar-pro,governance, Korean national author ID        ,Unknown
546,pid_graph:APE6C66BED,sonar-pro,metadata, Korean national research ID          ,Common Metadata Schema for Identifier
547,pid_graph:AP9F9F567B,sonar-pro,structure, Korean national research ID        ,Allows Managed Prefix
548,pid_graph:APD6651D72,sonar-pro,governance, Korean national research ID        ,Not found
549,pid_graph:APCF3FB0BE,sonar-pro,metadata, Korean research funding ID          ,Common Metadata Schema for Identifier
550,pid_graph:AP4111DC84,sonar-pro,structure, Korean research funding ID        ,Allows Managed Prefix
551,pid_graph:AP9E04E8CB,sonar-pro,governance, Korean research funding ID        ,Unknown
552,pid_graph:AP5D2FDC2A,sonar-pro,metadata, LCCN          ,Common Metadata Schema for Identifier
553,pid_graph:AP7B31B20C,sonar-pro,structure, LCCN        ,Predefined Identifier Structure
554,pid_graph:AP58638AF5,sonar-pro,governance, LCCN        ,Closed Governance
555,pid_graph:AP4EF27E24,sonar-pro,metadata, Magnet          ,Unknown
556,pid_graph:AP03CE79FB,sonar-pro,structure, Magnet        ,Unknown
557,pid_graph:APE21DA080,sonar-pro,governance, Magnet        ,Unknown
558,pid_graph:AP6738935D,sonar-pro,metadata, MeSH ID                  ,Not found
559,pid_graph:APB05A4B11,sonar-pro,structure, MeSH ID                ,Predefined Identifier Structure
560,pid_graph:AP2EB20D15,sonar-pro,governance, MeSH ID                ,Closed Governance
561,pid_graph:APEB634698,sonar-pro,metadata, MMDB-ID          ,Unknown
562,pid_graph:AP0CCEA739,sonar-pro,structure, MMDB-ID        ,Allows Managed Prefix
563,pid_graph:AP2F153C01,sonar-pro,governance, MMDB-ID        ,Closed Governance
564,pid_graph:AP5CF1B4C1,sonar-pro,metadata, NLM Catalog ID                  ,Common Metadata Schema for Identifier
565,pid_graph:AP029E47DC,sonar-pro,structure, NLM Catalog ID                ,Not found
566,pid_graph:APCA9AA9E1,sonar-pro,governance, NLM Catalog ID                ,Closed Governance
567,pid_graph:AP70BE25FF,sonar-pro,metadata, Not Applicable          ,Common Metadata Schema for Identifier
568,pid_graph:APA6BCCF63,sonar-pro,structure, Not Applicable        ,Not found
569,pid_graph:APF4974ACA,sonar-pro,governance, Not Applicable        ,Not found
570,pid_graph:AP53981094,sonar-pro,metadata, Nucleotide GI number          ,Common Metadata Schema for Identifier
571,pid_graph:APBBBBB713,sonar-pro,structure, Nucleotide GI number        ,Predefined Identifier Structure
572,pid_graph:AP41E1AC11,sonar-pro,governance, Nucleotide GI number        ,Closed Governance
573,pid_graph:APB173FFF0,sonar-pro,metadata, NZBN          ,Common Metadata Schema for Identifier
574,pid_graph:APBA5DD685,sonar-pro,structure, NZBN        ,Predefined Identifier Structure
575,pid_graph:AP2EE14DB7,sonar-pro,governance, NZBN        ,Closed Governance
576,pid_graph:APC5C22996,sonar-pro,metadata, OCLC Control Number          ,Common Metadata Schema for Identifier
577,pid_graph:AP1F6075CD,sonar-pro,structure, OCLC Control Number        ,Predefined Identifier Structure
578,pid_graph:APCD964D26,sonar-pro,governance, OCLC Control Number        ,Membership Governance
579,pid_graph:AP8DBAC70B,sonar-pro,metadata, OMID          ,Unknown
580,pid_graph:AP59F49789,sonar-pro,structure, OMID        ,Unknown
581,pid_graph:AP6C01C71B,sonar-pro,governance, OMID        ,Closed Governance
582,pid_graph:AP5DA0C49A,sonar-pro,metadata, OpenCitations Corpus          ,Common Metadata Schema for Identifier
583,pid_graph:AP2B00BC9D,sonar-pro,structure, OpenCitations Corpus        ,Unknown
584,pid_graph:APFDDF503D,sonar-pro,governance, OpenCitations Corpus        ,Community Governance
585,pid_graph:AP0083A0FC,sonar-pro,metadata, OpenURL          ,Common Metadata Schema for Identifier
586,pid_graph:AP88EFB98B,sonar-pro,structure, OpenURL        ,Unknown
587,pid_graph:AP9A3F5A67,sonar-pro,governance, OpenURL        ,Unknown
588,pid_graph:AP7D810794,sonar-pro,metadata, ORCID          ,Common Metadata Schema for Identifier
589,pid_graph:AP81041596,sonar-pro,structure, ORCID        ,Predefined Identifier Structure
590,pid_graph:AP16865E56,sonar-pro,governance, ORCID        ,Membership Governance
591,pid_graph:APD3475549,sonar-pro,metadata, PIC          ,Unknown
592,pid_graph:AP82BD1819,sonar-pro,structure, PIC        ,Predefined Identifier Structure
593,pid_graph:APA83AF369,sonar-pro,governance, PIC        ,Membership Governance
594,pid_graph:APB6317CD0,sonar-pro,metadata, PIDINST          ,Common Metadata Schema for Identifier
595,pid_graph:AP35481675,sonar-pro,structure, PIDINST        ,Allows Managed Prefix
596,pid_graph:AP630E1FF9,sonar-pro,governance, PIDINST        ,Community Governance
597,pid_graph:AP66D2281D,sonar-pro,metadata, PMCID          ,Common Metadata Schema for Identifier
598,pid_graph:AP24D61379,sonar-pro,structure, PMCID        ,Predefined Identifier Structure
599,pid_graph:AP6DF970DB,sonar-pro,governance, PMCID        ,Closed Governance
600,pid_graph:AP17D97E05,sonar-pro,metadata, PMID          ,Common Metadata Schema for Identifier
601,pid_graph:APF12AC377,sonar-pro,structure, PMID        ,Predefined Identifier Structure
602,pid_graph:AP122B8B02,sonar-pro,governance, PMID        ,Closed Governance
603,pid_graph:APB613D8F3,sonar-pro,metadata, PopSet ID          ,Unknown
604,pid_graph:APAF52A37B,sonar-pro,structure, PopSet ID        ,Predefined Identifier Structure
605,pid_graph:AP771E99DE,sonar-pro,governance, PopSet ID        ,Unknown
606,pid_graph:AP7B808368,sonar-pro,metadata, Probe ID	          ,Unknown
607,pid_graph:AP6F53FD22,sonar-pro,structure, Probe ID	        ,Unknown
608,pid_graph:AP68E76830,sonar-pro,governance, Probe ID	        ,Unknown
609,pid_graph:AP4CC2CB06,sonar-pro,metadata, Protein Cluster ID          ,Common Metadata Schema for Identifier
610,pid_graph:APF7278F65,sonar-pro,structure, Protein Cluster ID        ,Predefined Identifier Structure
611,pid_graph:AP76E23EFE,sonar-pro,governance, Protein Cluster ID        ,Closed Governance
612,pid_graph:AP9D51279A,sonar-pro,metadata, Protein GI number                  ,Common Metadata Schema for Identifier
613,pid_graph:AP8B5171A8,sonar-pro,structure, Protein GI number                ,Predefined Identifier Structure
614,pid_graph:AP58A13B57,sonar-pro,governance, Protein GI number                ,Closed Governance
615,pid_graph:AP081DC501,sonar-pro,metadata, PSSM-ID          ,Common Metadata Schema for Identifier
616,pid_graph:APC1AE8CB1,sonar-pro,structure, PSSM-ID        ,Unknown
617,pid_graph:AP250EEDA7,sonar-pro,governance, PSSM-ID        ,Unknown
618,pid_graph:AP4F64AFEA,sonar-pro,metadata, PURL          ,No Metadata Schema Prescribed
619,pid_graph:APD323BE85,sonar-pro,structure, PURL        ,Allows Managed Prefix
620,pid_graph:AP233209E1,sonar-pro,governance, PURL        ,Community Governance
621,pid_graph:AP9BB7F4B0,sonar-pro,metadata, QID          ,Unknown
622,pid_graph:AP24661F28,sonar-pro,structure, QID        ,Predefined Identifier Structure
623,pid_graph:AP302A7BDF,sonar-pro,governance, QID        ,Community Governance
624,pid_graph:AP12886CA8,sonar-pro,metadata, QID / WDQID          ,Common Metadata Schema for Identifier
625,pid_graph:AP7451B76B,sonar-pro,structure, QID / WDQID        ,Predefined Identifier Structure
626,pid_graph:APCDD846E8,sonar-pro,governance, QID / WDQID        ,Community Governance
627,pid_graph:AP9D251C3A,sonar-pro,metadata, RAI ID          ,Unknown
628,pid_graph:AP0BE95936,sonar-pro,structure, RAI ID        ,Unknown
629,pid_graph:APC1A9B4B3,sonar-pro,governance, RAI ID        ,Unknown
630,pid_graph:APB8E8DCE4,sonar-pro,metadata, RAID          ,Common Metadata Schema for Identifier
631,pid_graph:AP51540E88,sonar-pro,structure, RAID        ,Allows Managed Prefix
632,pid_graph:AP859D1534,sonar-pro,governance, RAID        ,Closed Governance
633,pid_graph:AP89C8EE43,sonar-pro,metadata, re3data          ,Common Metadata Schema for Identifier
634,pid_graph:APB47E1679,sonar-pro,structure, re3data        ,Allows Managed Prefix
635,pid_graph:APB59ED806,sonar-pro,governance, re3data        ,Membership Governance
636,pid_graph:APFBB0F8ED,sonar-pro,metadata, ResearcherID          ,Common Metadata Schema for Identifier
637,pid_graph:APA2F8F74F,sonar-pro,structure, ResearcherID        ,Predefined Identifier Structure
638,pid_graph:APA636BF1B,sonar-pro,governance, ResearcherID        ,Closed Governance
