,property,pid,llama-online-response,mistrall-small-response,sonar-pro-response,agreement
309,structure, Korean research funding ID        ,Predefined Identifier Structure,Predefined Identifier Structure,Allows Managed Prefix,2
310,structure, LCCN        ,No Prefix,Not found,Predefined Identifier Structure,1
311,structure, MMDB-ID        ,Predefined Identifier Structure,Allows Managed Prefix,Allows Managed Prefix,2
312,structure, Magnet        ,Unknown,Unknown,Unknown,3: Unknown
313,structure, MeSH ID                ,No Prefix,Allows Managed Prefix,Predefined Identifier Structure,1
314,structure, NLM Catalog ID                ,No Prefix,Allows Managed Prefix,Not found,1
315,structure, NZBN        ,Predefined Identifier Structure,Allows Managed Prefix,Predefined Identifier Structure,2
316,structure, Not Applicable        ,Allows User Semantics,Allows Managed Prefix,Not found,1
317,structure, Nucleotide GI number        ,Predefined Identifier Structure,Allows Managed Prefix,Predefined Identifier Structure,2
318,structure, OCLC Control Number        ,Predefined Identifier Structure,Predefined Identifier Structure,Predefined Identifier Structure,3
319,structure, OMID        ,Predefined Identifier Structure,Allows Managed Prefix,Unknown,1
320,structure, ORCID        ,Predefined Identifier Structure,Allows Managed Prefix,Predefined Identifier Structure,2
321,structure, OpenCitations Corpus        ,Predefined Identifier Structure,Allows Managed Prefix,Unknown,1
322,structure, OpenURL        ,No Prefix,Unknown,Unknown,2
323,structure, PIC        ,Predefined Identifier Structure,Unknown,Predefined Identifier Structure,2
324,structure, PIDINST        ,Predefined Identifier Structure,Unknown,Allows Managed Prefix,1
325,structure, PMCID        ,No Prefix,Allows Managed Prefix,Predefined Identifier Structure,1
326,structure, PMID        ,Predefined Identifier Structure,Allows Managed Prefix,Predefined Identifier Structure,2
327,structure, PSSM-ID        ,No Prefix,Not found,Unknown,1
328,structure, PURL        ,No Prefix,Allows Managed Prefix,Allows Managed Prefix,2
329,structure, PopSet ID        ,Predefined Identifier Structure,Not found,Predefined Identifier Structure,2
330,structure, Probe ID	        ,Allows User Semantics,Allows Managed Prefix,Unknown,1
331,structure, Protein Cluster ID        ,Predefined Identifier Structure,Allows User Semantics,Predefined Identifier Structure,2
332,structure, Protein GI number                ,No Prefix,Predefined Identifier Structure,Predefined Identifier Structure,2
333,structure, QID        ,Allows Managed Prefix,Not found,Predefined Identifier Structure,1
334,structure, QID / WDQID        ,Allows User Semantics,Predefined Identifier Structure,Predefined Identifier Structure,2
335,structure, RAI ID        ,No Prefix,Allows Managed Prefix,Unknown,1
336,structure, RAID        ,Predefined Identifier Structure,Unknown,Allows Managed Prefix,1
337,structure, RIN        ,No Prefix,Allows Managed Prefix,Unknown,1
338,structure, ResearcherID        ,Predefined Identifier Structure,Allows Managed Prefix,Predefined Identifier Structure,2
339,structure, Ringgold ID        ,No Prefix,Allows Managed Prefix,Predefined Identifier Structure,1
340,structure, RoR        ,Allows Managed Prefix,Unknown,Allows Managed Prefix,2
341,structure, SBN/ ICCU        ,Predefined Identifier Structure,Allows Managed Prefix,Allows Managed Prefix,2
342,structure, SF-edu-ID        ,Predefined Identifier Structure,Allows Managed Prefix,Allows User Semantics,1
343,structure, SID        ,Allows User Semantics,Allows Managed Prefix,Unknown,1
344,structure, SRA ID	        ,No Prefix,Allows Managed Prefix,Predefined Identifier Structure,1
345,structure, SWHID        ,Predefined Identifier Structure,Allows Managed Prefix,Predefined Identifier Structure,2
346,structure, ScopusAuthorID        ,No Prefix,Allows Managed Prefix,Predefined Identifier Structure,1
347,structure, TaxID        ,Predefined Identifier Structure,Allows Managed Prefix,Allows User Semantics,1
348,structure, Toolkit ID        ,Predefined Identifier Structure,Allows Managed Prefix,Unknown,1
349,structure, UID        ,Predefined Identifier Structure,No Prefix,Unknown,1
350,structure, ULAN ID        ,No Prefix,Allows Managed Prefix,Predefined Identifier Structure,1
351,structure, UPC        ,No Prefix,Predefined Identifier Structure,Predefined Identifier Structure,2
352,structure, URI        ,Predefined Identifier Structure,Allows Managed Prefix,Allows User Semantics,1
353,structure, URL        ,Allows User Semantics,Predefined Identifier Structure,Predefined Identifier Structure,2
354,structure, URN        ,Allows User Semantics,Not found,Allows Managed Prefix,1
355,structure, URN: ISNI        ,No Prefix,Allows Managed Prefix,Predefined Identifier Structure,1
356,structure, URN:ISAN        ,Predefined Identifier Structure,Allows Managed Prefix,Allows Managed Prefix,2
357,structure, URN:ISBN        ,No Prefix,Allows Managed Prefix,Allows Managed Prefix,2
358,structure, URN:ISMN        ,Predefined Identifier Structure,Allows Managed Prefix,Allows Managed Prefix,2
359,structure, URN:ISRC        ,Predefined Identifier Structure,Not found,Allows Managed Prefix,1
360,structure, URN:ISSN        ,Predefined Identifier Structure,Allows Managed Prefix,Allows Managed Prefix,2
361,structure, URN:ISTC        ,Predefined Identifier Structure,Not found,Allows Managed Prefix,1
362,structure, URN:LSID        ,Allows User Semantics,Allows Managed Prefix,Predefined Identifier Structure,1
363,structure, URN:NBN        ,Allows Managed Prefix,Allows Managed Prefix,Allows Managed Prefix,3
364,structure, URN:NBN:AT        ,Predefined Identifier Structure,Allows Managed Prefix,Allows Managed Prefix,2
365,structure, URN:NBN:CH        ,Predefined Identifier Structure,Allows Managed Prefix,Allows Managed Prefix,2
366,structure, URN:NBN:CZ        ,Predefined Identifier Structure,Allows Managed Prefix,Allows Managed Prefix,2
367,structure, URN:NBN:DE        ,Predefined Identifier Structure,Not found,Allows Managed Prefix,1
368,structure, URN:NBN:FI        ,Predefined Identifier Structure,Allows Managed Prefix,Allows Managed Prefix,2
369,structure, URN:NBN:HR        ,Predefined Identifier Structure,Allows Managed Prefix,Allows Managed Prefix,2
370,structure, URN:NBN:HU        ,Predefined Identifier Structure,Allows Managed Prefix,Allows Managed Prefix,2
371,structure, URN:NBN:IT        ,Predefined Identifier Structure,Allows Managed Prefix,Allows Managed Prefix,2
372,structure, URN:NBN:NL        ,Predefined Identifier Structure,Allows Managed Prefix,Allows Managed Prefix,2
373,structure, URN:NBN:NO        ,Predefined Identifier Structure,Allows Managed Prefix,Allows Managed Prefix,2
374,structure, URN:NBN:SE        ,Predefined Identifier Structure,Allows Managed Prefix,Not found,1
375,structure, URN:NBN:SI        ,Predefined Identifier Structure,Allows Managed Prefix,Allows Managed Prefix,2
376,structure, URN:NBN:SK        ,Predefined Identifier Structure,Allows Managed Prefix,Allows Managed Prefix,2
377,structure, URN:OID        ,Predefined Identifier Structure,Predefined Identifier Structure,Allows Managed Prefix,2
378,structure, VAT number        ,Predefined Identifier Structure,Allows User Semantics,Not found,1
379,structure, VIAF        ,Predefined Identifier Structure,Allows Managed Prefix,Predefined Identifier Structure,2
380,structure, Virta-id        ,Allows User Semantics,Allows Managed Prefix,Allows Managed Prefix,2
381,structure, W3ID        ,Predefined Identifier Structure,Allows Managed Prefix,Allows Managed Prefix,2
382,structure, WOS        ,Allows Managed Prefix,Allows Managed Prefix,Predefined Identifier Structure,2
383,structure, Wikipedia        ,No Prefix,Allows Managed Prefix,Unknown,1
384,structure, XRI        ,Predefined Identifier Structure,Allows Managed Prefix,Allows User Semantics,1
385,structure, Z39.88-2004        ,No Prefix,Predefined Identifier Structure,Predefined Identifier Structure,2
386,structure, arXiv        ,Predefined Identifier Structure,Allows Managed Prefix,Predefined Identifier Structure,2
387,structure, dPID        ,Allows User Semantics,Unknown,Unknown,2
388,structure, dbGaP ID        ,Predefined Identifier Structure,Allows Managed Prefix,Allows Managed Prefix,2
389,structure, dbVar ID        ,Predefined Identifier Structure,Allows Managed Prefix,Allows User Semantics,1
390,structure, eISSN        ,Predefined Identifier Structure,Not found,Predefined Identifier Structure,2
391,structure, ePIC        ,Allows Managed Prefix,Allows Managed Prefix,Allows Managed Prefix,3
392,structure, re3data        ,Predefined Identifier Structure,Not found,Allows Managed Prefix,1
393,structure, rs number        ,Allows User Semantics,Allows Managed Prefix,Predefined Identifier Structure,1
394,structure, swMath        ,Predefined Identifier Structure,Allows Managed Prefix,Unknown,1
395,structure, zbMath        ,No Prefix,Allows Managed Prefix,Allows Managed Prefix,2
